TMNID,Campaign_ID,Domain,arm_campaign,Sent_Title,Sent_Msg,Last_Action,Reward_Score,Sent_At
tmn.10086632327,3_e9fb2dd2,711,,7-11 แวะบ่อยขนาดนี้เลย,Jack สัปดาห์นี้ 7-11 คือที่สุด! แวะบ่อยขนาดนี้ต้องมีของเด็ดๆ รออยู่แน่! ช้อปต่อเลยสิคะรออะไร,OPEN,1.0,2026-05-21T14:11:26.822523+07:00
tmn.10086632327,3_585742b2,711,,7-ELEVEN ที่สุดของแจ็ค!,แจ็คปักหลัก 7-ELEVEN ตลอด! เข้าบ่อยเบอร์นี้ อย่าลืมสแกน All Member สะสมแต้ม ไว้แลกของกินฟรีสุดปังนะ!,DISMISS,-0.5,2026-05-21T14:11:25.729879+07:00
tmn.10082112804,BUDDY_SCENARIO_1097_6a7b53bc,ONL_TIKTOK,,TikTok ช้อปเก่งงง! สรุปให้ดู,อยากรู้ป่ะ TikTok ช้อปอะไรไปบ้าง? มาดูสรุปให้เป๊ะ! จัดการเงินได้อยู่หมัดก่อน Double Day,IMPRESSION,0.0,2026-05-21T14:11:24.605428+07:00
tmn.10082112804,BUDDY_SCENARIO_1102_b2f4a61c,ONL_TIKTOK,,TikTok ช้อปเพลิน สรุปยอดด่วน!,Double Day นี้ต้องจัดเต็ม! มาเช็กยอด TikTok ที่โดนตกไปกี่รายการ เตรียมเงินไว้ให้พร้อม เปย์ได้ไม่มีกั๊ก!,DISMISS,-0.5,2026-05-21T14:11:23.515705+07:00
tmn.10082112804,BUDDY_SCENARIO_1100_47fe1fe0,ONL_TIKTOK,,ช้อป TikTok ดับเบิลเดย์นี้ต้องปัง!,ดับเบิลเดย์มาแล้ว ช้อป TikTok อย่าเพิ่งรีบเอฟ! ลองเทียบราคาในแอปเราก่อน คุ้มชัวร์ ไม่ต้องกลัวพลาด,DISMISS,-0.5,2026-05-21T14:11:22.425167+07:00
tmn.10082112804,BUDDY_SCENARIO_1167_7b8122d6,PMS,,อุ๊ย! งบหมวดนี้ใกล้จะเต็มแล้วนะ,เดือนนี้ดูเหมือนจะใช้เงินหมวดช้อปปิ้งเพลินไปนิด ลองปรับแผนการใช้เงินอีกหน่อย เพื่อให้เหลือเงินออมตามเป้าหมายที่ตั้งใจไว้นะครับ,IMPRESSION,0.0,2026-05-21T14:11:21.328364+07:00
tmn.10082112804,BUDDY_SCENARIO_1166_70db0422,PMS,,กินข้าวแล้ว จ่ายเท่าไหร่กันนะ?,Guy เข้ามาบ่อยขนาดนี้ ลองจดรายจ่ายดูยัง? แค่แป๊บเดียว! คุมงบได้ชิลๆ ไม่ต้องกังวลตอนสิ้นเดือนเลยนะ,OPEN,1.0,2026-05-21T14:11:20.189149+07:00
tmn.10082112804,BUDDY_SCENARIO_108_62c2eda8,PMS,,เข้าแอปบ่อย ลองเก็บเงินปังๆ ยัง?,เข้าแอปบ่อยๆ ลองมาเปิดประสบการณ์ใหม่กับ MoneyBuddy สิ! ตั้งเป้าหมายง่ายๆ เงินงอกเงยปังๆ เริ่มเลย!,DISMISS,-0.5,2026-05-21T14:11:19.121428+07:00
tmn.10082112804,BUDDY_SCENARIO_1095_2e745231,ONL_GRAB,,Grab นี่แหละ ตัวท็อปเปย์ตัวจริง?,ส่องสถิติเปย์ Grab ด่วน! จะได้รู้ว่าทุ่มไปเท่าไหร่ ตัวเลขไม่โกหกนะแก วางแผนเงินง่ายขึ้นเยอะ!,DISMISS,-0.5,2026-05-21T14:11:18.038170+07:00
tmn.10082112804,BUDDY_SCENARIO_1090_4688f804,ONL_GRAB,,ชาว Grab ต้องรู้! ฟินแล้วอย่าลืม,ฟินมื้อนี้แล้ว แวะมาบันทึกยอดหน่อย Money Buddy ช่วยให้รู้ยอดใช้จ่ายได้ง่ายๆ จัดให้เลย!,OPEN,1.0,2026-05-21T14:11:16.966571+07:00
tmn.10082112804,BUDDY_SCENARIO_121_0fc7b80d,ONL_GRAB,,หิวปะ? Grab เลยดิเพื่อน!,ได้เวลาฟิน! สั่ง Grab ผ่าน MoneyBuddy ตอนนี้ รับส่วนลดสุดคุ้ม จัดเต็มทุกมื้อไปเลย,OPEN,1.0,2026-05-21T14:11:15.898854+07:00
tmn.10000971872,BUDDY_SCENARIO_1079_9754b46b,DCP_ALP,,แอปโปรดคุณรออยู่!,พี่จิงคะ พักเรื่องงาน มาสนุกกับแอปและเกมโปรดที่คิดถึง หรือลองหาความบันเทิงใหม่ๆ คลายเหนื่อยกันนะคะ,OPEN,1.0,2026-05-21T14:11:14.827421+07:00
tmn.10000971872,BUDDY_SCENARIO_4_87063c8e,DCP_ALP,,เช็กยอดใช้จ่ายบริการดิจิทัล,P'Jing ลองมาเช็กยอดใช้จ่ายกับบริการดิจิทัลกัน! มีอัปเดตสรุปให้ดูนะ,OPEN,1.0,2026-05-21T14:11:13.750002+07:00
tmn.10000971872,BUDDY_SCENARIO_1071_a51cbddc,DCP_ALP,,อยากได้อะไร ให้เราช่วยเก็บนะ P'Jing,P'Jing เหนื่อยแล้วใช่ไหม? มาวางแผนเก็บเงินเพื่อทริปในฝัน หรือของที่อยากได้ Money Buddy ช่วยให้เป็นจริงง่ายขึ้นนะ,DISMISS,-0.5,2026-05-21T14:11:12.660524+07:00
